단축코드,표준코드,한글명,그룹코드
0001A0,KR70001A0001,덕양에너젠,ST
000250,KR7000250001,삼천당제약,ST
000440,KR7000440008,중앙에너비스,ST
0004V0,KR70004V0003,엔비알모션,ST
0004Y0,KR70004Y0000,디비금융제14호스팩,ST
0007C0,KR70007C0003,아크릴,ST
0007J0,KR70007J0006,인벤테라,ST
0008Z0,KR70008Z0005,에스엔시스,ST
0009K0,KR70009K0001,에임드바이오,ST
001000,KR7001000009,신라섬유,ST
0010F0,KR70010F0005,보원케미칼,ST
0010V0,KR70010V0005,제이피아이헬스케어,ST
0011A0,KR70011A0009,액스비스,ST
0013V0,KR70013V0002,삼진식품,ST
001540,KR7001540004,안국약품,ST
0015G0,KR70015G0009,그린광학,ST
0015N0,KR70015N0000,아로마티카,ST
0015S0,KR70015S0005,페스카로,ST
001810,KR7001810001,무림SP,ST
001840,KR7001840008,이화공영,ST
002230,KR7002230001,피에스텍,ST
002290,KR7002290005,삼일기업공사,ST
002680,KR7002680007,한탑,ST
002800,KR7002800001,신신제약,ST
003100,KR7003100005,선광,ST
003310,KR7003310000,대주산업,ST
003380,KR7003380003,하림지주,ST
0037T0,KR70037T0008,KB제32호스팩,ST
003800,KR7003800000,에이스침대,ST
0041B0,KR70041B0002,교보18호스팩,ST
0041J0,KR70041J0004,엘에스스팩1호,ST
0041L0,KR70041L0000,하나35호스팩,ST
0044K0,KR70044K0008,삼성스팩10호,ST
004590,KR7004590006,한국가구,ST
004650,KR7004650008,창해에탄올,ST
004780,KR7004780003,대륙제관,ST
005160,KR7005160007,동국산업,ST
005290,KR7005290002,동진쎄미켐,ST
0054V0,KR70054V0002,엔에이치스팩32호,ST
005670,KR7005670005,푸드웰,ST
005710,KR7005710009,대원산업,ST
005860,KR7005860002,한일사료,ST
005990,KR7005990007,매일홀딩스,ST
006050,KR7006050009,국영지앤엠,ST
006140,KR7006140008,피제이전자,ST
006620,KR7006620009,동구바이오제약,ST
006730,KR7006730006,서부T&D,ST
0068Y0,KR70068Y0003,비엔케이제3호스팩,ST
006910,KR7006910004,보성파워텍,ST
006920,KR7006920003,모헨즈,ST
0071M0,KR70071M0002,삼성스팩11호,ST
0072Z0,KR70072Z0006,KB제33호스팩,ST
007330,KR7007330004,푸른저축은행,ST
007370,KR7007370000,진양제약,ST
007390,KR7007390008,네이처셀,ST
007530,KR7007530009,와이엠,ST
007680,KR7007680002,대원,ST
007720,KR7007720006,소노스퀘어,ST
007770,KR7007770001,한일화학,ST
007820,KR7007820004,엠엑스로보틱스,ST
008290,KR7008290009,원풍물산,ST
0082N0,KR70082N0008,카나프테라퓨틱스,ST
008370,KR7008370009,원풍,ST
008470,KR7008470007,부스타,ST
008830,KR7008830002,대동기어,ST
0088D0,KR70088D0004,메리츠제1호스팩,ST
0088M0,KR70088M0003,메쥬,ST
0091W0,KR70091W0006,신영스팩11호,ST
009300,KR7009300005,삼아제약,ST
0093G0,KR70093G0004,미래에셋비전스팩8호,ST
009520,KR7009520008,포스코엠텍,ST
009620,KR7009620006,삼보산업,ST
0096B0,KR70096B0006,삼성스팩12호,ST
0096D0,KR70096D0004,미래에셋비전스팩9호,ST
009730,KR7009730003,이렘,ST
