종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),기준일자
196170,알테오젠,200949,142.42,2633.0,45.42,일반서비스,0.94,29.86,42.24,-14.45,-35.59,2026-06-25
247540,에코프로비엠,140876,357.32,403.0,8.15,전기·전자,-5.57,3.29,147.34,-3.88,822.59,2026-06-25
086520,에코프로,138492,-92.48,-1103.0,6.98,금융,-5.29,3.26,119.98,1.42,4004.42,2026-06-25
277810,레인보우로보틱스,100103,7068.49,73.0,74.79,기계·장비,0.19,0.94,5.69,116.56,0.0,2026-06-25
036930,주성엔지니어링,77577,221.06,755.0,12.92,기계·장비,-8.5,1.16,48.58,-54.59,0.0,2026-06-25
240810,원익IPS,75933,90.36,1712.0,7.76,기계·장비,2.72,11.92,28.5,32.77,0.0,2026-06-25
058470,리노공업,67600,0.0,0.0,0.0,전기·전자,4.11,0.0,0.0,0.0,0.0,2026-06-25
028300,HLB,65267,-29.22,-1677.0,15.51,제약,-2.58,-41.83,87.39,5.8,0.0,2026-06-25
039030,이오테크닉스,58764,102.71,4644.0,8.54,기계·장비,-1.95,11.28,13.66,35.69,105.75,2026-06-25
141080,리가켐바이오,57676,-76.79,-2029.0,11.18,일반서비스,2.1,-26.39,30.45,-30.42,0.0,2026-06-25
000250,삼천당제약,53483,1017.86,224.0,19.21,제약,-4.4,3.65,45.29,28.15,692.36,2026-06-25
298380,에이비엘바이오,53188,-137.09,-693.0,33.84,제약,-3.85,-14.91,62.61,506.83,0.0,2026-06-25
319660,피에스케이,49417,62.91,2712.0,9.17,기계·장비,0.53,19.04,24.94,53.59,108.44,2026-06-25
222800,심텍,47279,-25.47,-4955.0,8.18,전기·전자,7.22,-22.7,181.91,39.12,0.0,2026-06-25
440110,파두,43835,-57.19,-1530.0,223.79,전기·전자,1.39,-90.14,326.82,209.79,0.0,2026-06-25
403870,HPSP,41973,0.0,0.0,0.0,기계·장비,0.79,0.0,0.0,0.0,0.0,2026-06-25
087010,펩트론,41971,-180.0,-1000.0,27.48,제약,-16.67,-23.46,11.33,-5.68,0.0,2026-06-25
095340,ISC,40529,72.21,2648.0,7.29,유통,0.37,13.23,16.32,115.48,237.78,2026-06-25
347850,디앤디파마텍,37752,-155.39,-547.0,46.55,일반서비스,-7.61,-33.51,25.08,-90.89,0.0,2026-06-25
108490,로보티즈,37532,679.05,377.0,11.79,기계·장비,0.2,-2.68,2.66,15.83,0.0,2026-06-25
084370,유진테크,37261,87.75,1853.0,7.98,기계·장비,0.49,12.78,22.85,22.51,104.65,2026-06-25
080220,제주반도체,37233,94.25,1147.0,16.03,전기·전자,-4.25,45.66,74.99,272.57,1714.12,2026-06-25
214370,케어젠,37010,184.22,374.0,15.85,제약,-4.17,10.96,14.41,6.63,0.45,2026-06-25
178320,서진시스템,33799,-29.5,-1800.0,4.05,전기·전자,-4.32,-14.52,209.17,-0.39,0.0,2026-06-25
310210,보로노이,33710,-78.78,-2323.0,32.08,일반서비스,-7.62,-69.86,72.84,0.0,0.0,2026-06-25
214450,파마리서치,33507,22.7,14209.0,5.41,제약,5.91,27.99,48.18,24.97,28.08,2026-06-25
067310,하나마이크론,32309,84.52,575.0,8.09,전기·전자,0.73,24.53,195.46,62.84,513.61,2026-06-25
095610,테스,32157,57.57,2885.0,7.52,기계·장비,2.22,17.58,31.33,15.09,36.45,2026-06-25
145020,휴젤,31252,22.38,11348.0,2.89,제약,-2.12,16.4,9.63,29.86,22.26,2026-06-25
214150,클래시스,30367,23.11,2014.0,5.48,의료·정밀기기,2.31,27.42,51.12,13.05,-4.08,2026-06-25
005290,동진쎄미켐,28849,29.37,1927.0,2.68,화학,-1.39,12.08,87.73,13.22,39.39,2026-06-25
226950,올릭스,28594,-181.78,-774.0,20.88,일반서비스,1.66,-14.41,28.17,265.8,0.0,2026-06-25
064760,티씨케이,28452,41.27,6167.0,5.76,비금속,-1.36,14.78,9.16,21.65,21.06,2026-06-25
319400,현대무벡스,28234,256.06,99.0,17.42,기계·장비,-7.48,6.66,104.32,-3.54,0.0,2026-06-25
031980,피에스케이홀딩스,27427,29.92,4252.0,5.42,기계·장비,3.5,20.41,21.06,-10.16,-3.86,2026-06-25
357780,솔브레인,26992,34.14,10164.0,2.52,화학,2.81,7.89,29.48,25.94,24.0,2026-06-25
290650,엘앤씨바이오,26188,-16.8,-5781.0,11.95,제약,3.08,-55.6,119.07,71.44,0.0,2026-06-25
237690,에스티팜,25562,45.27,2706.0,4.27,제약,1.24,12.48,39.05,27.74,1024.65,2026-06-25
089970,브이엠,24772,98.23,1018.0,14.65,기계·장비,7.18,30.38,40.26,396.38,1503.56,2026-06-25
131290,티에스이,24114,63.08,3456.0,6.16,의료·정밀기기,-12.63,18.82,30.96,81.46,1246.96,2026-06-25
131970,두산테스나,23057,62.69,1903.0,5.24,일반서비스,-0.25,0.0,0.0,0.0,0.0,2026-06-25
010170,대한광통신,22343,-59.38,-242.0,29.27,전기·전자,0.0,-28.75,116.7,34.87,0.0,2026-06-25
263750,펄어비스,22215,-269.85,-131.0,2.72,IT 서비스,-2.62,16.85,47.0,419.57,2597.44,2026-06-25
257720,실리콘투,21083,12.32,2609.0,4.61,유통,-4.32,44.96,70.92,41.06,35.22,2026-06-25
098460,고영,21008,142.33,215.0,6.02,기계·장비,-1.45,8.27,26.8,42.27,209.09,2026-06-25
032820,우리기술,20936,2440.0,5.0,16.16,전기·전자,-3.94,24.19,147.62,-8.52,0.0,2026-06-25
420770,기가비스,20471,132.49,1219.0,9.7,기계·장비,3.66,0.0,20.69,29.94,0.0,2026-06-25
043260,성호전자,20390,21.44,1341.0,8.13,전기·전자,-4.33,113.32,131.66,11.37,100.31,2026-06-25
089030,테크윙,19379,207.54,252.0,8.69,기계·장비,4.81,2.36,222.93,51.5,444.03,2026-06-25
183300,코미코,18922,37.95,2427.0,6.87,기계·장비,-2.13,17.76,214.45,16.37,-34.58,2026-06-25
068760,셀트리온제약,18050,0.0,0.0,0.0,제약,-1.81,0.0,0.0,0.0,0.0,2026-06-25
140410,메지온,17931,-50.86,-1160.0,104.24,일반서비스,-0.84,-125.67,537.76,3.19,0.0,2026-06-25
082920,비츠로셀,17637,30.97,1256.0,5.29,전기·전자,-3.83,20.52,14.68,26.56,34.53,2026-06-25
035900,JYP Ent.,17624,10.98,4519.0,2.65,오락·문화,-2.75,21.29,38.54,32.11,70.04,2026-06-25
058610,에스피지,17343,189.81,412.0,6.72,전기·전자,-2.49,3.64,67.76,-13.36,9.69,2026-06-25
218410,RFHIC,17260,60.07,1082.0,4.86,전기·전자,-4.55,9.39,33.63,35.13,107.15,2026-06-25
140860,파크시스템스,16736,48.47,4931.0,7.38,의료·정밀기기,-1.65,11.47,60.91,-22.68,-84.05,2026-06-25
083650,비에이치아이,16679,25.58,2107.0,9.39,기계·장비,-5.11,40.11,393.23,107.57,183.89,2026-06-25
030530,원익홀딩스,15988,58.31,355.0,1.58,화학,-4.61,1.96,55.36,-31.5,0.0,2026-06-25
007390,네이처셀,15819,-557.95,-44.0,25.1,제약,-5.21,-4.33,37.5,-0.44,0.0,2026-06-25
041510,에스엠,15683,4.53,15126.0,1.56,오락·문화,-2.97,13.78,48.46,20.6,18.45,2026-06-25
096530,씨젠,15224,31.55,924.0,1.32,제약,8.16,5.34,22.71,11.33,58.63,2026-06-25
0009K0,에임드바이오,14907,250.54,92.0,7.68,일반서비스,-7.98,0.0,4.14,437.45,0.0,2026-06-25
078600,대주전자재료,14892,71.09,1335.0,5.66,전기·전자,-5.76,4.15,162.96,68.26,93.02,2026-06-25
039200,오스코텍,13964,26.68,1368.0,7.7,제약,-3.31,36.95,21.81,88.4,0.0,2026-06-25
323280,태성,13269,-511.18,-85.0,10.35,기계·장비,-6.16,-1.34,51.01,163.19,0.0,2026-06-25
060370,LS마린솔루션,12981,126.14,197.0,2.01,건설,-2.17,2.83,22.72,18.69,39.61,2026-06-25
031330,에스에이엠티,12739,16.81,758.0,2.56,유통,-1.09,53.44,213.27,134.89,1575.19,2026-06-25
458870,씨어스,12579,77.76,425.0,31.75,의료·정밀기기,-2.51,0.0,35.95,699.57,0.0,2026-06-25
127120,제이에스링크,12021,-57.57,-601.0,16.12,일반서비스,-1.56,-26.29,60.37,69.4,0.0,2026-06-25
476830,알지노믹스,11969,0.0,0.0,0.0,일반서비스,-4.87,0.0,0.0,0.0,0.0,2026-06-25
166090,하나머티리얼즈,11787,30.72,1940.0,2.48,전기·전자,-1.0,11.76,46.21,59.29,144.33,2026-06-25
101490,에스앤에스텍,11499,19.83,2718.0,3.7,전기·전자,-1.28,20.9,25.96,6.62,-4.21,2026-06-25
475830,오름테라퓨틱,11359,-25.94,-2016.0,8.48,제약,-9.36,-34.58,161.62,0.0,0.0,2026-06-25
195940,HK이노엔,11247,18.26,2174.0,0.9,제약,2.58,5.02,51.0,8.23,33.82,2026-06-25
204270,제이앤티씨,11234,-12.27,-1583.0,4.48,전기·전자,-13.5,-29.27,138.7,-16.8,0.0,2026-06-25
437730,삼현,11145,107.16,328.0,8.43,운송장비·부품,-10.33,4.44,60.73,-22.87,0.0,2026-06-25
100790,미래에셋벤처투자,10598,34.28,582.0,2.8,금융,-0.5,11.86,177.34,191.36,0.0,2026-06-25
003380,하림지주,10551,4.59,2051.0,0.29,금융,-1.88,7.79,167.24,10.94,17.45,2026-06-25
232140,와이씨,10461,54.26,235.0,2.84,기계·장비,-1.7,6.3,30.73,-14.5,0.0,2026-06-25
085660,차바이오텍,10162,-7.13,-1533.0,2.93,제약,-3.95,-18.24,173.82,8.41,0.0,2026-06-25
417200,LS머트리얼즈,10101,2488.33,6.0,5.46,전기·전자,-1.65,0.34,37.65,21.87,0.0,2026-06-25
036540,SFA반도체,9950,-52.16,-116.0,2.1,전기·전자,-1.63,-2.48,18.54,42.6,0.0,2026-06-25
065350,신성델타테크,9812,45.19,790.0,3.94,전기·전자,-2.19,9.84,176.25,6.62,-40.65,2026-06-25
347700,스피어,9772,3792.0,5.0,12.78,IT 서비스,-11.4,46.87,399.35,106.24,-83.51,2026-06-25
090710,휴림로봇,9529,-53.85,-148.0,7.46,기계·장비,-8.07,-13.27,30.72,-40.71,0.0,2026-06-25
038500,삼표시멘트,9410,23.07,378.0,1.19,비금속,-3.0,6.5,83.63,10.0,375.52,2026-06-25
281740,레이크머티리얼즈,9373,121.88,117.0,6.96,화학,-1.66,9.16,164.49,3.75,53.77,2026-06-25
491000,리브스메드,9302,-36.29,-1025.0,5.08,의료·정밀기기,1.09,0.0,13.19,5.47,0.0,2026-06-25
099320,쎄트렉아이,9298,60.82,1396.0,3.73,운송장비·부품,-8.12,4.98,58.12,-7.13,0.0,2026-06-25
388210,씨엠티엑스,9133,-25.78,-3670.0,4.93,전기·전자,1.07,0.0,45.71,19.41,7.01,2026-06-25
083450,GST,9114,20.13,2457.0,2.94,기계·장비,-1.88,19.24,32.64,60.19,104.05,2026-06-25
074600,원익QnC,9017,40.07,856.0,1.85,비금속,0.88,4.72,169.02,10.75,14.61,2026-06-25
397030,에이프릴바이오,9014,42.83,899.0,9.49,일반서비스,-3.02,26.9,9.46,0.0,0.0,2026-06-25
161580,필옵틱스,8744,-50.68,-736.0,7.51,기계·장비,-1.19,-19.12,109.27,-66.42,0.0,2026-06-25
090360,로보스타,8629,-166.04,-533.0,9.94,기계·장비,-3.59,-2.32,27.02,77.72,0.0,2026-06-25
