종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,멀티팩터점수,기준일자
054800,아이디스홀딩스,2026-05-08,253.0,-49.0,204.0,485.0,1.8557504864944199,0.7,2.560574049425404,1.3088777323100313,2.140518013128953,6.009969794864388,1,1697.0,4.34,3775.0,0.38,일반서비스,5.81,11.11,36.89,16.22,42.13,1.3038132848023558,1.1711710895142993,2026-05-08
009300,삼아제약,2026-05-08,36.0,0.0,36.0,352.0,3.0059790714472436,0.8,2.0989423374410965,1.2372146415560559,2.3960558167668466,5.732212795763999,2,1031.0,7.97,2031.0,0.43,제약,-0.37,5.78,8.3,-18.6,-55.13,1.1924460726975905,1.0616275754072522,2026-05-08
088910,동우팜투테이블,2026-05-08,-1.0,0.0,-1.0,59.0,-0.5595238096811224,0.6,0.27417052203166536,-0.6216357464288916,1.1771511581541403,0.829685933756914,3,661.0,2.34,1095.0,0.27,음식료·담배,0.39,12.55,17.79,7.37,0.0,0.9098126377674111,1.0498222664309447,2026-05-08
052790,액토즈소프트,2026-05-08,9.0,0.0,9.0,93.0,-0.4102564104076266,0.8,0.40324125996958116,-1.1923200687060134,2.0931986948199697,1.3041198860835375,4,601.0,1.97,2795.0,0.23,IT 서비스,0.55,12.77,47.63,-12.2,-2.99,0.9542353234540936,1.0387801382511146,2026-05-08
204620,글로벌텍스프리,2026-05-08,-2498.0,1624.0,-874.0,2192.0,-0.6481051817512751,0.5,-0.08096185707277626,-0.9504518174536978,0.208352679718856,-0.823060994807618,5,4217.0,12.15,494.0,3.01,금융,1.87,27.81,31.6,42.17,34.29,0.8763185693845141,1.015109150442881,2026-05-08
177350,베셀,2026-05-08,14.0,0.0,14.0,-54.0,2.313725488246828,0.5,-0.0389826264085795,2.858526825780607,0.7292343790159983,3.548778578388026,6,197.0,1.08,925.0,0.47,화학,-0.1,56.27,41.29,-35.54,0.0,1.2174670339740152,1.009055062286374,2026-05-08
024800,유성티엔에스,2026-05-08,-47.0,118.0,71.0,824.0,1.6253348638394183,0.7,1.780591950395744,1.1924340754253502,1.4270118814799408,4.400037907301035,7,1719.0,3.14,1480.0,0.29,운송·창고,0.76,10.89,17.38,-56.14,-75.12,1.0411708680254153,1.0037369946133348,2026-05-08
060540,에스에이티,2026-05-08,-26.0,0.0,-26.0,-5.0,2.181818174586777,0.6,-0.25462584363383606,2.8122437967254847,0.3789323374751039,2.9365502905667524,8,368.0,47.0,30.0,0.36,의료·정밀기기,0.57,0.77,57.05,3.0,16.68,0.9535385423295899,0.9932912263199865,2026-05-08
067900,와이엔텍,2026-05-08,81.0,1.0,82.0,113.0,0.2188728700892697,0.7,0.11933154948515647,-0.2409894508986828,1.7748236724299298,1.6531657710164034,9,1369.0,4.5,1672.0,0.39,일반서비스,1.76,9.37,44.29,2.85,-13.89,0.8609475632681852,0.9928719244780759,2026-05-08
137080,나래나노텍,2026-05-08,-16.0,0.0,-16.0,-81.0,-0.14357682641219738,0.3,0.3365651345459895,-0.1961838777415779,-0.11230586967385826,0.028075387130553367,10,664.0,1.66,3613.0,0.57,기계·장비,1.18,42.7,70.82,34.81,0.0,0.976816885949945,0.980008778414208,2026-05-08
100030,인지소프트,2026-05-08,-73.0,0.0,-73.0,265.0,5.0,0.4,1.9846962322783241,2.3260020130718893,0.4605661228354841,4.771264368185697,11,673.0,3.15,6513.0,0.77,IT 서비스,1.23,35.1,19.37,0.17,120.4,1.0302466692930385,0.9684505812078017,2026-05-08
049830,승일,2026-05-08,-1.0,0.0,-1.0,3.0,0.21212120110192845,0.3,0.6727352388289705,-0.42043675629938326,0.5825751377308367,0.8348736202604239,12,451.0,12.31,597.0,0.3,금속,-0.68,2.49,18.68,1.75,282.26,0.7655878387251718,0.9670125782532889,2026-05-08
100700,세운메디칼,2026-05-08,-26.0,-20.0,-46.0,514.0,1.3158615961991238,0.7,1.487035981670116,1.791182179284364,0.9710587676585571,4.249276928613037,13,1172.0,9.83,272.0,0.75,제약,0.56,8.01,6.13,5.83,11.64,0.9240392800002369,0.9592977485214917,2026-05-08
053620,태양,2026-05-08,4.0,0.0,4.0,38.0,0.46198830152867565,0.7,1.376678194520752,-0.4676626432706281,2.2067090157303584,3.1157245669804823,14,620.0,5.23,1378.0,0.3,금속,-0.14,6.27,14.41,-7.81,10.45,0.8845906261066095,0.9551856868988875,2026-05-08
376290,씨유테크,2026-05-08,1.0,-2.0,-1.0,40.0,4.999999976000001,0.5,1.9002501721207081,1.8371582848139736,1.492965862268469,5.23037431920315,15,501.0,36.88,77.0,0.44,전기·전자,0.35,1.18,12.71,-23.81,-52.84,0.9509101383364675,0.952652439837635,2026-05-08
088130,동아엘텍,2026-05-08,120.0,-32.0,88.0,-252.0,-0.8783923050502288,0.8,0.9147573979624143,-1.1547728197003082,2.1967092037838363,1.9566937820459422,16,1824.0,3.71,2811.0,1.07,기계·장비,-2.89,33.57,107.76,226.41,668.69,1.0196102093467883,0.9516121667362775,2026-05-08
054040,한국컴퓨터,2026-05-08,51.0,0.0,51.0,213.0,1.780952380157823,0.6,1.7107706991486749,2.59893613279853,1.8708285183869888,6.1805353503341935,17,919.0,4.47,1279.0,0.46,전기·전자,2.14,13.04,80.6,-0.77,88.03,1.1797819202579172,0.9432570890537294,2026-05-08
123420,위메이드플레이,2026-05-08,12.0,0.0,12.0,-184.0,-0.9157303370833859,0.7,0.27787769579800237,-0.663639224145074,-0.2581988647471633,-0.643960393094235,18,784.0,4.46,1667.0,0.29,IT 서비스,0.13,7.38,14.34,4.03,919.81,0.9465324936600683,0.9218984262437114,2026-05-08
003100,선광,2026-05-08,-107.0,9.0,-98.0,2770.0,0.7582550011415428,0.8,1.2983269003691533,-0.1320945942594605,1.3835186781043138,2.5497509842140067,19,1881.0,4.75,5994.0,0.41,운송·창고,2.15,9.55,59.22,1.97,13.79,0.75284904143457,0.9132744132608078,2026-05-08
052330,코텍,2026-05-08,1442.0,-46.0,1396.0,1211.0,5.0,0.7,3.434792722792281,3.0628658259135153,0.08345760831381942,6.581116157019616,20,2439.0,8.3,1655.0,0.49,전기·전자,17.35,8.01,18.45,28.85,60.46,1.1641138294596145,0.9074639103855103,2026-05-08
115570,스타플렉스,2026-05-08,-5.0,0.0,-5.0,59.0,0.2560386455226491,0.6,1.64625452173438,-0.26365977902653875,1.3662599621279603,2.748854704835802,21,235.0,6.77,434.0,0.33,화학,-0.51,5.04,39.0,23.09,0.0,0.7587125675276404,0.8983913576425039,2026-05-08
033560,블루콤,2026-05-08,-8.0,14.0,6.0,1.0,0.10507246316753305,0.5,0.4279225095307664,0.4261588858710945,0.6324554820336771,1.486536877435538,22,579.0,3.54,957.0,0.31,전기·전자,-0.15,9.92,18.06,14.09,-80.06,0.8893330097502316,0.8977404068469391,2026-05-08
081580,성우전자,2026-05-08,-25.0,-19.0,-44.0,-139.0,0.0955056176698017,0.5,-0.20636290588238948,0.8395520229959571,0.9180336914520216,1.5512228085655893,23,466.0,3.77,798.0,0.4,전기·전자,-0.99,11.53,39.42,24.4,0.0,0.8118239813929085,0.8849855368469037,2026-05-08
171090,선익시스템,2026-05-08,-1676.0,-225.0,-1901.0,-18477.0,-0.26008131838058557,0.1,-0.7143972882177738,-0.7086023201766847,-0.8486517794597831,-2.2716513878542415,24,9345.0,9.15,10110.0,5.67,기계·장비,1.98,101.48,154.25,356.73,1310.54,0.7950428659339328,0.8845157031132531,2026-05-08
067280,멀티캠퍼스,2026-05-08,10.0,0.0,10.0,772.0,-0.7141271163157817,0.6,1.9735651159956837,-1.05474953377738,2.558538088692439,3.477353670910743,25,1618.0,6.18,4417.0,0.7,일반서비스,-0.55,11.72,36.84,-6.21,-18.08,0.8085315682421406,0.8808206544505901,2026-05-08
348350,위드텍,2026-05-08,102.0,-1.0,101.0,458.0,0.03713188206950946,0.8,1.261777662679978,-0.05784495973670264,2.3268268677208894,3.5307595706641646,26,1131.0,17.9,633.0,0.88,의료·정밀기기,0.0,5.23,22.61,32.54,430.94,0.9850112898849405,0.8746755653901769,2026-05-08
063760,이엘피,2026-05-08,413.0,0.0,413.0,509.0,2.8581560275479103,0.8,2.706014778097141,3.2609332478884103,1.4270120087526355,7.393960034738187,27,384.0,14.75,279.0,0.54,의료·정밀기기,11.22,4.1,24.54,-2.49,0.0,1.147803176887829,0.8721333176032454,2026-05-08
069330,유아이디,2026-05-08,4.0,-1.0,3.0,43.0,1.0312499968261717,0.6,2.138387342996855,1.7277733583218366,1.6384882612863014,5.5046489626049935,28,162.0,11.88,96.0,0.77,전기·전자,-1.38,6.78,120.5,-7.22,433.45,1.0562559993274823,0.8592859078239101,2026-05-08
007370,진양제약,2026-05-08,-8.0,0.0,-8.0,-169.0,0.23552123504420042,0.3,-0.7549620449010698,0.5678804720877201,-0.632455432033693,-0.8195370048470427,29,674.0,2.03,2347.0,0.48,제약,-1.85,28.47,89.84,20.94,34.86,0.8077211476026108,0.8493307679241348,2026-05-08
094970,제이엠티,2026-05-08,16.0,-8.0,8.0,-132.0,0.7774176118134926,0.5,-0.2860494614388986,1.160811340811127,0.5400616373673358,1.4148235167395642,30,676.0,4.74,852.0,0.47,전기·전자,3.33,10.17,46.84,22.07,148.72,0.7907881107829111,0.8434060654246771,2026-05-08
042420,네오위즈홀딩스,2026-05-08,37.0,7.0,44.0,-201.0,1.2014260243668202,0.5,-1.670153283433872,1.1785012350603519,1.032795425655328,0.541143377281808,31,1628.0,5.07,3946.0,0.35,IT 서비스,-3.38,10.08,23.57,18.68,170.64,0.8236947433398559,0.8389698464551196,2026-05-08
068790,DMS,2026-05-08,130.0,0.0,130.0,-550.0,-0.44444444446753495,0.3,-1.0522875632566357,-0.5518134636241027,-0.32203056843384165,-1.9261315953145801,32,1839.0,1.47,5540.0,0.42,기계·장비,1.62,34.55,32.51,41.86,0.0,0.9148494728970891,0.8380066775281669,2026-05-08
263700,케어랩스,2026-05-08,-24.0,0.0,-24.0,-2.0,-0.2653061227488547,0.2,1.2031512068866026,-0.5699191623564109,0.9036959391150979,1.5369279836452896,33,478.0,2.49,988.0,0.7,일반서비스,-0.81,32.8,43.95,-1.8,0.0,0.7991563939119182,0.8264915250308024,2026-05-08
065690,파커스,2026-05-08,-1.0,26.0,25.0,92.0,0.2755102034308621,0.7,0.7426210502066167,0.4376962773616878,1.7709979159823344,2.951315243550639,34,204.0,3.04,477.0,0.33,화학,0.76,11.98,60.71,-16.0,0.0,0.8508793852909347,0.8254299298468208,2026-05-08
078070,유비쿼스홀딩스,2026-05-08,109.0,0.0,109.0,253.0,0.4862781373894902,0.6,1.037511650025837,2.0242586031477665,2.2735940248506243,5.335364278024228,35,2722.0,13.53,1143.0,0.96,금융,-3.01,7.95,8.67,23.89,113.31,1.0137421377510276,0.8160395017124689,2026-05-08
041190,우리기술투자,2026-05-08,-880.0,-446.0,-1326.0,-4202.0,1.3073011998834558,0.2,-2.116712008631414,0.8202722027654908,-0.33383045415079915,-1.6302702600167223,36,5536.0,5.01,1316.0,0.66,금융,-1.79,15.33,21.19,-15.28,-21.41,0.6929102155234114,0.8131356956188418,2026-05-08
187420,HLB제넥스,2026-05-08,-41.0,0.0,-41.0,266.0,-0.5734463277197643,0.4,0.988577309248449,-1.060506792170728,-0.8366599565340808,-0.9085894394563598,37,840.0,3.43,775.0,1.9,제약,-2.74,69.88,148.1,22.41,0.0,0.677742041614419,0.813044567967228,2026-05-08
037030,파워넷,2026-05-08,-231.0,0.0,-231.0,6717.0,5.0,0.7,2.056625152946724,2.291648419111092,0.8811038406540006,5.229377412711816,38,2064.0,12.43,651.0,1.34,전기·전자,-1.46,10.93,74.53,38.54,84.95,0.8181950002298094,0.812566853859807,2026-05-08
221980,케이디켐,2026-05-08,5.0,0.0,5.0,29.0,0.7948717902695597,0.6,1.4616757522706294,-0.43002574736894106,2.1833441877072595,3.214994192608948,39,421.0,12.01,869.0,0.38,화학,-0.1,3.45,24.84,0.77,-6.7,0.7167961406068816,0.8113259649323028,2026-05-08
020710,시공테크,2026-05-08,-122.0,2.0,-120.0,-619.0,-0.5582692597717864,0.4,0.31804480990228745,-0.6050946671726743,0.7888105599688459,0.501760702698459,40,955.0,3.13,1521.0,0.48,일반서비스,-1.65,17.78,29.02,14.44,134.5,0.8243651000450148,0.8082009261571811,2026-05-08
008370,원풍,2026-05-08,21.0,0.0,21.0,42.0,3.6031745812547236,0.8,2.6553650570657577,1.0790623513321738,1.9947297880867967,5.729157196484728,41,623.0,8.77,592.0,0.61,화학,-2.08,0.0,0.0,0.0,0.0,0.8017649217442177,0.8045789023497097,2026-05-08
264450,유비쿼스,2026-05-08,-195.0,291.0,96.0,2888.0,2.7067610061800287,0.7,1.6012232084743356,1.1661288291366005,1.032795425655326,3.8001474632662626,42,2342.0,9.87,1618.0,1.2,전기·전자,-2.32,12.92,14.11,12.18,86.76,0.7679640124195224,0.8038921466950898,2026-05-08
012790,신일제약,2026-05-08,-1.0,6.0,5.0,-58.0,0.16928446710159606,0.8,-1.1681428513273064,-0.0014168455870360345,0.9710587676585557,-0.19850092925578677,43,722.0,5.05,1193.0,0.49,제약,-0.5,10.16,13.21,0.34,8.79,0.6997808812071779,0.7921042418443407,2026-05-08
091340,S&K폴리텍,2026-05-08,29.0,-8.0,21.0,92.0,0.2010796216459867,0.8,0.449133138750695,0.7882166266242353,1.7709977776102643,3.0083475429851947,44,303.0,9.59,270.0,0.3,전기·전자,0.39,3.43,82.07,-6.01,3.24,0.9441255917951212,0.7845233872287833,2026-05-08
303360,프로티아,2026-05-08,7.0,1.0,8.0,35.0,-0.5274584931567847,0.6,1.0142801724226096,-0.4040155344193024,1.8536701044831592,2.463934742486466,45,632.0,25.84,190.0,2.41,의료·정밀기기,1.66,9.82,6.3,27.79,815.25,0.794871314413435,0.7819002086606546,2026-05-08
267790,배럴,2026-05-08,27.0,0.0,27.0,38.0,2.950617269318701,0.8,2.2149098536579896,1.1331506786448633,2.3195670426657937,5.667627574968646,46,281.0,7.78,469.0,0.7,섬유·의류,4.58,9.48,72.49,-8.15,-26.82,0.8883849277722008,0.7814386018142798,2026-05-08
017650,대림제지,2026-05-08,-20.0,0.0,-20.0,99.0,-0.20148560839327234,0.5,0.5165043384409148,-0.5540856834770919,1.0801233330679898,1.0425419880318127,47,841.0,13.44,712.0,0.3,종이·목재,-0.31,2.3,16.04,1.55,-46.31,0.596579926368524,0.7769878056115659,2026-05-08
019770,서연탑메탈,2026-05-08,26.0,6.0,32.0,137.0,0.32716049351994725,0.7,1.163077739691556,0.2607365743803713,0.5825752013671778,2.006389515439105,48,482.0,5.14,805.0,0.52,기계·장비,-1.9,10.65,62.45,5.38,33.21,0.7724278358092291,0.7762878887049259,2026-05-08
198080,캐프,2026-05-08,28.0,5.0,33.0,108.0,-0.41646682667870505,0.5,1.4016754394045328,-0.5703477549339301,1.5275251149852889,2.3588527994558914,49,655.0,3.36,904.0,0.5,전기·전자,0.83,15.73,68.14,-6.24,21.65,0.824349677206251,0.7743858559158245,2026-05-08
036220,오상헬스케어,2026-05-08,-61.0,0.0,-61.0,-190.0,-0.8118049615136097,0.5,0.755641903835538,-0.6646962853654451,1.4204388932308658,1.5113845117009586,50,1228.0,40.09,214.0,0.42,의료·정밀기기,1.42,1.1,19.51,59.81,0.0,0.7875984396981872,0.7677056501987465,2026-05-08
