종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,퀄리티점수,랭킹,기준일자
031820,아이티센씨티에스,719.0,1.36,4364.0,0.31,IT 서비스,-1.0,36.03,105.73,23.78,0.0,1.9986266689100982,1.9865984034427493,1,2026-06-17
001420,태원물산,181.0,1.04,2299.0,0.39,운송장비·부품,0.0,47.06,18.25,25.6,0.0,1.3954951838636542,1.4018214254702825,2,2026-06-17
000910,유니온,510.0,2.18,1496.0,0.47,비금속,2.35,47.05,140.12,-10.27,0.0,1.3972624036825025,1.3988171575659258,3,2026-06-17
003230,삼양식품,86253.0,22.15,51697.0,6.87,음식료·담배,0.17,37.96,69.84,35.05,32.2,1.3739190042161247,1.373462864472595,4,2026-06-17
009770,삼정펄프,650.0,1.71,15182.0,0.25,종이·목재,0.0,15.76,15.53,-8.09,-24.64,1.3772377855044051,1.37321121031404,5,2026-06-17
483650,달바글로벌,25624.0,31.14,6599.0,12.83,화학,5.93,50.85,28.73,50.53,50.05,1.3664467134398772,1.362591506099275,6,2026-06-17
008500,일정실업,47.0,1.37,569.0,0.76,섬유·의류,0.0,100.89,112.57,-17.65,-61.75,1.3218137613285348,1.3058233152407337,7,2026-06-17
096760,JW홀딩스,2890.0,4.94,791.0,1.01,금융,0.13,27.69,108.98,1.54,23.28,1.1494312433134397,1.1745365814987299,8,2026-06-17
003080,SB성보,454.0,1.32,1721.0,0.29,화학,0.89,23.76,43.79,-1.3,-6.7,1.1780475637691286,1.1724650179230716,9,2026-06-17
326030,SK바이오팜,70795.0,26.52,3409.0,8.71,일반서비스,1.92,46.52,41.67,57.84,249.68,1.2431697927601255,1.1653018280926504,10,2026-06-17
446070,유니드비티플러스,252.0,3.94,603.0,0.13,종이·목재,-1.86,3.31,20.87,15.47,0.0,1.1593713765779285,1.1623449804276114,11,2026-06-17
004920,씨아이테크,550.0,3.63,290.0,0.75,전기·전자,-1.77,31.75,38.38,-50.83,0.0,1.0701104745541725,1.067155784890684,12,2026-06-17
019180,티에이치엔,1323.0,1.93,3815.0,0.59,전기·전자,-2.0,41.08,159.74,62.15,417.37,1.0467365476241095,1.046853917969678,13,2026-06-17
