rank,code,종목명,섹터,price,score,chg,ret20,ret5,vol20,per,pbr,per_pct,pbr_pct,per_rank,pbr_rank,sec_n,hi60,liq5,asof
1,192650,드림텍,전기·전자,7680.0,8.076621448271506,0.08016877637130793,0.5721596724667348,0.22292993630573243,0.04406513907244868,7680.0,1.36,1.0,0.417910447761194,49.0,28.0,49.0,1.0,14545707829.0,20260917
2,001820,삼화콘덴서,전기·전자,137800.0,5.663136254544389,-0.042390548992355837,0.41188524590163933,0.1910112359550562,0.058774921588763095,114.26,5.16,0.8571428571428571,0.7611940298507462,42.0,51.0,49.0,0.8861736334405145,229500724990.0,20260917
3,000670,영풍,금속,46300.0,4.87170991211643,-0.015940488841657774,0.2152230971128608,0.1751269035532994,0.07041251549836103,-109.72,0.24,,0.18181818181818182,,10.0,33.0,0.9168316831683169,13558798110.0,20260917
4,021240,코웨이,일반서비스,107500.0,4.291465113274878,0.0009310986964619072,0.15096359743040688,0.11746361746361744,0.023092560837850783,12.56,2.11,0.46153846153846156,0.71875,12.0,23.0,26.0,1.0,24000008121.0,20260917
5,082740,한화엔진,기계·장비,52800.0,3.9213303134277657,0.09885535900104059,0.1330472103004292,0.09203722854188201,0.03975666358147199,25.36,7.92,0.7894736842105263,0.9354838709677419,15.0,29.0,19.0,0.96,53368711080.0,20260917
6,000990,DB하이텍,전기·전자,124700.0,3.8369557487563033,-0.0023999999999999577,0.28689370485036125,0.08246527777777768,0.0509813348401105,21.56,2.37,0.3673469387755102,0.5671641791044776,18.0,38.0,49.0,0.7877447883765003,100664428618.0,20260917
7,443060,HD현대마린솔루션,일반서비스,242000.0,3.5213522451571944,0.023255813953488413,0.19211822660098532,0.05446623093681913,0.037218741457649335,40.25,13.16,0.8846153846153846,1.0,23.0,32.0,26.0,0.979757085020243,38103230107.6,20260917
8,000500,가온전선,전기·전자,260000.0,3.4659839554947034,0.04208416833667328,0.5767131594906003,0.040000000000000036,0.07345749855198808,145.5,16.0,0.9183673469387755,1.0,45.0,67.0,49.0,0.8652246256239601,50266094450.0,20260917
9,229640,LS에코에너지,금융,53200.0,3.4430928272835706,-0.060070671378091856,0.159041394335512,0.09465020576131677,0.051907683728887946,38.72,7.71,0.9365079365079365,1.0,59.0,74.0,63.0,0.8764415156507414,17017718465.0,20260917
10,003160,디아이,의료·정밀기기,31350.0,3.355823089116261,-0.0015923566878981443,0.21042471042471034,0.029556650246305383,0.05363626574193065,174.17,4.99,1.0,1.0,6.0,8.0,6.0,0.9984076433121019,10392115685.0,20260917
