rank,code,종목명,섹터,price,score,chg,ret20,ret5,vol20,per,pbr,per_pct,pbr_pct,per_rank,pbr_rank,sec_n,hi60,liq5,asof
1,375500,DL이앤씨,건설,88100.0,4.956603908598206,0.028004667444574194,0.24787535410764883,0.12086513994910941,0.024570609108497145,10.21,0.7,0.5434782608695652,0.5384615384615384,12.5,14.0,23.0,1.0,51341966630.0,20260915
2,112610,씨에스윈드,금속,52700.0,3.5424712760450143,0.0019011406844107182,0.15317286652078765,0.08996897621509814,0.026840334927340285,64.03,1.89,1.0,0.9090909090909091,33.0,50.0,33.0,0.9981060606060606,23663491670.0,20260915
3,316140,우리금융지주,금융,36200.0,2.968589478705344,-0.01763907734056991,0.07259259259259254,0.06314243759177685,0.024654377871067928,8.58,0.74,0.5079365079365079,0.6554054054054054,32.0,48.5,63.0,0.9823609226594301,113839034100.0,20260915
4,093370,후성,화학,14780.0,2.961489732891631,0.04748405386250876,0.1395528141865845,0.1395528141865845,0.031223916239753534,295.6,4.74,0.9871794871794872,0.95,77.0,95.0,78.0,0.7371571072319202,67853747484.0,20260915
5,004090,한국석유,비금속,12310.0,2.929788482376953,-0.0008116883116883189,0.11000901713255185,0.06764960971379019,0.02571183973574133,29.95,0.76,0.9285714285714286,0.9047619047619048,13.0,19.0,14.0,0.966248037676609,29677975153.0,20260915
6,175330,JB금융지주,금융,32300.0,2.896729318917121,0.0015503875968991832,0.1577060931899641,0.03194888178913735,0.02056510580205573,8.76,1.02,0.5396825396825397,0.7972972972972973,34.0,59.0,63.0,1.0,16745121625.0,20260915
7,028050,삼성E&A,일반서비스,51000.0,2.5607615618748025,0.003937007874015741,0.06471816283924836,0.03763987792472023,0.03190187189754326,16.19,2.11,0.6538461538461539,0.75,17.0,24.0,26.0,0.9864603481624759,78972447785.0,20260915
8,092790,넥스틸,금속,13980.0,2.451220042660586,-0.05731625084288605,0.18978723404255327,0.06473724295506478,0.02659333958338326,10.09,0.78,0.36363636363636365,0.7545454545454545,12.0,41.5,33.0,0.8944337811900192,46739175673.0,20260915
9,021240,코웨이,일반서비스,101200.0,2.0143908644515287,0.006965174129353269,0.04870466321243527,0.014028056112224352,0.02137486667251975,11.83,1.98,0.4230769230769231,0.71875,11.0,23.0,26.0,1.0,23592063313.8,20260915
10,117580,대성에너지,전기·가스,7240.0,1.8381861833167277,0.006954102920723182,0.05079825834542806,0.019718309859154903,0.01564175942902621,11.53,0.6,0.8888888888888888,0.9,8.0,9.0,9.0,0.9640479360852197,10537698492.0,20260915
