종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,퀄리티점수,랭킹,순위변동,정배열
003230,삼양식품,80754.0,20.74,51697.0,6.43,음식료·담배,0.0,37.96,69.84,35.05,32.2,1.3786779458699705,1.3767103858118612,1,0,False
326030,SK바이오팜,61241.0,22.94,3409.0,7.53,일반서비스,4.83,46.52,41.67,57.84,249.68,1.2389537486183355,1.2398804629060272,2,0,False
383220,F&F,30071.0,7.55,10404.0,1.57,섬유·의류,1.55,28.82,42.98,10.93,24.16,1.077612907523053,1.0785415906059763,3,0,True
443060,HD현대마린솔루션,90564.0,33.59,6013.0,10.98,일반서비스,4.39,38.96,65.14,18.33,12.51,0.962946558309338,0.9644190014990051,4,0,False
002380,KCC,37078.0,2.49,173128.0,0.41,화학,3.11,23.84,117.58,1.69,-14.81,0.79294294807716,0.7899548524445605,5,0,False
009540,HD한국조선해양,237090.0,10.93,30639.0,1.78,금융,2.45,20.2,143.73,20.22,57.83,0.7149374519219172,0.707303835547546,6,3,False
271560,오리온,50241.0,13.13,9680.0,1.32,음식료·담배,-1.01,10.85,19.74,16.04,25.95,0.662573353509764,0.6586176712378817,7,0,False
207940,삼성바이오로직스,640204.0,52.05,26572.0,8.58,제약,1.1,19.56,51.4,25.77,34.98,0.6487072053107301,0.6487409961547504,8,-1,False
267260,HD현대일렉트릭,296668.0,40.49,20324.0,14.6,전기·전자,3.26,43.9,158.34,2.15,18.38,0.6417744891983037,0.6408556399506903,9,-1,False
007660,이수페타시스,74951.0,45.24,2257.0,9.92,전기·전자,4.29,29.95,69.58,34.77,40.97,0.6389289737119696,0.6383876941481901,10,-1,False
033780,KT&G,179073.0,19.22,8973.0,1.93,음식료·담배,0.88,13.25,57.59,14.25,27.66,0.6244679200770511,0.6231444733164646,11,2,False
005930,삼성전자,16340349.0,42.58,6564.0,4.37,전기·전자,6.27,19.16,30.15,69.16,756.1,0.5794584003935805,0.5791165746909208,12,0,False
042700,한미반도체,256866.0,120.69,2233.0,37.03,기계·장비,29.88,30.8,16.8,-65.47,-87.86,0.5523327186948729,0.553985639657939,13,0,False
128940,한미약품,49258.0,29.05,13235.0,3.9,제약,7.85,14.29,50.54,0.51,-9.1,0.5424343013445839,0.5422923387351171,14,0,False
000990,DB하이텍,52554.0,20.89,5783.0,2.3,전기·전자,6.43,14.17,28.94,25.98,21.37,0.5385387230517672,0.5401860687642518,15,0,False
009970,영원무역홀딩스,24379.0,6.94,27133.0,0.72,금융,1.29,13.48,32.14,7.26,19.1,0.5426978263004462,0.5371704357959166,16,2,False
004800,효성,24826.0,7.53,19707.0,1.01,금융,3.56,14.53,94.68,-4.28,15.62,0.5251524569510126,0.51879518132401,17,3,False
008930,한미사이언스,22125.0,18.69,1731.0,2.28,금융,0.94,14.71,49.48,6.7,24.0,0.4894912082267414,0.4898511253301845,18,-1,False
000100,유한양행,55355.0,29.09,2389.0,2.25,제약,4.2,9.75,40.03,7.16,37.32,0.4885131451487416,0.48846223425693436,19,0,False
267250,HD현대,158381.0,16.45,12187.0,1.4,금융,5.47,15.11,168.43,14.72,120.36,0.47494867940489094,0.47658713211176096,20,2,False
375500,DL이앤씨,23990.0,7.19,8625.0,0.49,건설,4.2,9.73,87.5,-4.59,94.34,0.4654340134819929,0.47175039448075695,21,-1,False
068270,셀트리온,408597.0,41.46,4238.0,2.35,제약,1.68,7.28,29.99,36.0,115.41,0.47032765327985626,0.4699522954856741,22,-1,False
111770,영원무역,37310.0,7.58,11109.0,0.88,유통,0.12,13.88,40.56,10.41,46.26,0.45636235363659916,0.45520746025266356,23,-1,False
014680,한솔케미칼,27367.0,19.13,12993.0,2.5,화학,3.76,14.54,41.23,10.64,6.52,0.4470923436782114,0.44721890430298583,24,-2,False
353200,대덕전자,70765.0,154.98,924.0,8.22,전기·전자,21.98,11.18,30.1,60.8,0.0,0.42252918353992885,0.4246047998134198,25,-2,False
010130,고려아연,212904.0,26.48,38514.0,1.9,금속,0.49,10.39,87.59,58.42,175.19,0.40065183775982544,0.3970003734812637,26,0,False
031210,서울보증보험,29290.0,10.91,3844.0,0.56,보험,0.24,6.12,89.74,23.88,242.75,0.3885953913262286,0.3831017578361849,27,1,False
030200,KT,131051.0,7.57,6869.0,0.71,통신,0.78,8.87,117.62,-0.97,-29.92,0.3849593226143785,0.3804368495396149,28,3,False
028670,팬오션,27905.0,9.26,564.0,0.49,운송·창고,2.15,5.54,92.6,8.29,24.39,0.3774136889333161,0.37890891947038174,29,-1,False
011780,금호석유화학,29535.0,11.93,9843.0,0.48,화학,1.12,4.19,36.65,-6.72,-50.75,0.367496533320524,0.36672466168830037,30,4,False
021240,코웨이,67724.0,11.18,8558.0,1.87,일반서비스,1.59,19.32,109.95,13.18,18.79,0.3572499378609152,0.3607207524211429,31,-2,
032640,LG유플러스,60269.0,11.75,1208.0,0.68,통신,-0.35,6.15,117.51,1.49,6.6,0.3638589565822655,0.3591995540061975,32,4,
