종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,멀티팩터점수,기준일자
001420,태원물산,2026-05-08,-1.0,2.0,1.0,16.0,-0.4202898563327032,0.6,1.1903584036716706,-0.5798847182880124,2.0884294217074912,2.6989031070911493,1,234.0,1.34,2299.0,0.51,운송장비·부품,-0.16,47.06,18.25,25.6,0.0,1.299133493272099,1.2728175663872596,2026-05-08
005110,한창,2026-05-08,,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,265.0,0.41,3053.0,1.53,유통,0.0,1866.08,458.05,160.42,0.0,1.1604597112994355,1.1678229356893717,2026-05-08
031820,아이티센씨티에스,2026-05-08,361.0,47.0,408.0,-686.0,5.0,0.1,-1.3189244167773646,1.932183558380814,-0.15990864013231676,0.45335050147113265,3,997.0,1.89,4364.0,0.44,IT 서비스,9.87,25.89,145.4,10.04,12.09,1.1188729550356205,1.058402379626349,2026-05-08
298000,효성화학,2026-05-08,,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4,1475.0,0.38,103670.0,0.4,화학,0.0,260.94,309.76,-4.55,0.0,1.0180801302867386,1.0286936149954082,2026-05-08
031440,신세계푸드,2026-05-08,-262.0,-298.0,-560.0,218.0,4.045827302694768,0.8,-0.27211927062691604,2.0561631980965713,0.6278955068086844,2.41193943427834,5,2184.0,2.83,19939.0,0.61,일반서비스,6.82,23.71,127.3,-2.07,4475.7,0.7920234667636922,0.999797516753163,2026-05-08
009140,경인전자,2026-05-08,-14.0,0.0,-14.0,-15.0,0.8181818163452708,0.5,-1.3487013388374856,0.37200277040309365,-0.5428966403464353,-1.519595208780827,6,364.0,9.5,2437.0,0.38,전기·전자,0.0,4.88,8.57,57.24,0.0,0.6551469392880647,0.9646691991890185,2026-05-08
019180,티에이치엔,2026-05-08,172.0,2.0,174.0,-954.0,1.0693852707200615,0.3,-0.34653649832787137,1.7736386466554777,-0.1024055163303941,1.3246966319972122,7,1370.0,1.99,3815.0,0.61,전기·전자,2.28,36.85,171.05,51.92,126.26,0.9381824087574784,0.9355023834392255,2026-05-08
003230,삼양식품,2026-05-08,37535.0,24119.0,61654.0,34751.0,1.5702848602650743,0.4,1.0988873547869245,1.3036936705907927,-1.3178654703937562,1.084715554983961,8,102449.0,26.31,51697.0,8.16,음식료·담배,7.59,37.59,72.74,36.1,52.13,0.9589621706769107,0.9037448713147462,2026-05-08
013520,화승코퍼레이션,2026-05-08,215.0,0.0,215.0,268.0,1.9770619810184882,0.8,1.3350527182196712,0.7653542226776435,1.7748237599299033,3.8752307008272178,9,1662.0,2.13,1559.0,0.55,운송장비·부품,1.84,31.51,194.36,4.82,-3.17,0.8931685737134877,0.898821966779443,2026-05-08
136490,선진,2026-05-08,132.0,-40.0,92.0,-418.0,0.08962264145803656,0.5,-0.6461057483570775,-0.2876996204052318,0.683129911064002,-0.25067545769830724,10,2628.0,2.21,5002.0,0.47,음식료·담배,-0.18,23.5,133.95,12.75,44.41,0.7519924724679414,0.8965661328740637,2026-05-08
