종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),frgn_sum_3,orgn_sum_3,frgn_sum_5,orgn_sum_5,frgn_pos_5,orgn_pos_5,frgn_series,orgn_series,수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,섹터,당일등락(%),raw_score,멀티팩터점수,순위변동,정배열
323410,카카오뱅크,2026-06-10,9556.0,1565.0,11121.0,54348.0,2.527097938435595,0.8,28851.0,13562.0,37411.0,16937.0,5.0,4.0,"755,1766,8096,1742,1531,4495,4065,3894,15401,9556","-2815,-4443,-2341,-210,1853,1516,1859,-1081,13078,1565",2.4083347676718154,2.280482791863258,1.5701009398230523,6.258918499358126,1,118087.0,금융,1.43,2.839889451926977,2.415587866682502,6,False
462870,시프트업,2026-06-10,-1710.0,1260.0,-450.0,3832.0,5.0,0.5,-1419.0,4905.0,-2725.0,6557.0,1.0,4.0,"-665,76,0,99,-263,-874,-432,-1329,1620,-1710","-100,-365,147,483,807,847,805,-265,3910,1260",1.8830499953876791,2.3996578854284025,1.7748237599299026,6.057531640745984,2,18300.0,IT 서비스,-6.31,2.7490188067416383,2.3391353733596096,5,False
034230,파라다이스,2026-06-10,-1244.0,2748.0,1504.0,17360.0,0.5562006127949757,0.7,-1343.0,9063.0,-73.0,17433.0,2.0,5.0,"-8,1824,782,3300,1819,1373,-103,-2301,2202,-1244","-446,-1775,-1232,-1059,-2113,3918,4452,4732,1583,2748",1.8316511966867652,0.26036443126302183,2.15005112588426,4.242066753834047,3,14006.0,오락·문화,0.67,1.9298369260473192,2.2616723119637854,-7,False
012750,에스원,2026-06-10,67.0,17.0,84.0,2183.0,0.27816701379893627,0.8,1899.0,126.0,2134.0,49.0,4.0,3.0,"810,-94,768,795,-58,-100,335,561,1271,67","-1355,-325,-639,-252,1647,152,-229,-40,149,17",1.0182542885937602,1.8942125311851377,2.0390133161487434,4.951480135927641,4,27207.0,일반서비스,-0.56,2.2499414858890967,2.122203537263339,5,False
214980,KODEX 단기채권PLUS,2026-06-10,-37.0,-4610.0,-4647.0,-1318.0,3.9929187587551267,0.6,-5.0,-1533.0,-26.0,-1292.0,1.0,3.0,"99,0,3,-30,-108,-21,0,32,0,-37","170,-534,390,786,-207,-168,409,2940,137,-4610",-0.41153252343482954,3.280842817132139,1.712219866406025,4.581530160103335,5,20750.0,ETF(실물복제/수익증권),0.01,2.083011065398252,1.998957592256771,5,True
395270,HANARO Fn K-반도체,2026-06-10,-365.0,-4845.0,-5210.0,286533.0,5.0,0.4,-5810.0,296285.0,1864.0,284669.0,2.0,2.0,"-8759,-1939,8296,880,-3179,1250,6424,-1271,-4174,-365","-15597,-62557,-16970,-2371,7953,-5296,-6320,293898,7232,-4845",1.8348014650303868,1.3695980524737776,2.0010412017905175,5.205440719294682,6,46461.0,ETF(실물복제/수익증권),-6.17,2.364534673454795,1.946722846868556,19,True
085620,미래에셋생명,2026-06-10,-2618.0,4761.0,2143.0,17260.0,2.8445130920576314,0.9,-805.0,16486.0,-6533.0,23793.0,2.0,5.0,"-141,65,-170,554,1684,1192,-6920,-3665,5478,-2618","365,733,334,356,2179,2918,4389,3912,7813,4761",2.0204469808386007,0.6695963560799403,0.8640987037877176,3.554142040706259,7,30551.0,보험,-6.42,1.6194285759113483,1.936623974831712,-16,False
491010,TIGER 글로벌AI전력인프라액티브,2026-06-10,847.0,-80.0,767.0,8387.0,-0.08939927897827138,0.9,3065.0,1431.0,3122.0,5265.0,4.0,4.0,"256,183,104,828,-296,-56,113,960,1258,847","-443,2745,1730,421,1033,893,2941,1008,503,-80",1.1855734533005702,0.1527086692787124,2.133954758380178,3.4722368809594606,8,7837.0,ETF(Active/수익증권),-4.37,1.5824709771807672,1.8369346741749677,-12,True
002350,넥센타이어,2026-06-10,-64.0,88.0,24.0,1938.0,0.40898090880857807,0.8,1444.0,128.0,2153.0,-215.0,4.0,2.0,"-154,-134,125,689,663,348,361,248,1260,-64","-633,-179,-57,-132,-185,-132,-211,57,-17,88",1.4343223326058518,0.559940033302156,1.8683973932603857,3.8626597591683938,9,6759.0,화학,-1.7,1.7586392688084296,1.8229285039119674,-7,False
377300,카카오페이,2026-06-10,147.0,185.0,332.0,8749.0,0.14494150554055896,0.7,7052.0,-994.0,10428.0,-1679.0,5.0,2.0,"294,-212,457,-937,719,1623,1753,3688,3217,147","-1825,-686,1284,-161,1568,-315,-370,-2120,941,185",1.1252704370329034,1.5063087627675735,1.9706592272271726,4.6022384270276495,10,57484.0,금융,-3.74,2.0923551387357624,1.8167034157035489,10,False
469830,SOL 초단기채권액티브,2026-06-10,-2.0,536.0,534.0,18982.0,0.380510945722329,0.7,-41.0,9557.0,21.0,18961.0,2.0,5.0,"38,-1,-36,61,-23,-20,82,-49,10,-2","1718,1271,-420,-459,-3044,932,8472,9002,19,536",1.9729509789183264,0.14841339195546008,1.6749037039306378,3.7962680748044244,11,11852.0,ETF(Active/수익증권),0.01,1.7286817272157355,1.8094622803240297,-8,True
352820,하이브,2026-06-10,598.0,-81.0,517.0,34037.0,0.46199086437810233,0.8,29980.0,-9944.0,45181.0,-11144.0,5.0,1.0,"6984,-4899,15174,15581,11739,10110,5091,20844,8538,598","-4873,-1524,-7346,-16478,-3263,-1400,200,-7510,-2353,-81",1.0718188544358864,0.6843133222322404,1.0894304960422014,2.8455626727103285,12,88360.0,오락·문화,-0.73,1.299700343500619,1.766321887236935,-24,False
015760,한국전력,2026-06-10,11057.0,2825.0,13882.0,8113.0,0.5742327305281729,0.5,8014.0,7453.0,9296.0,-1183.0,3.0,3.0,"-23707,5503,-9077,6770,7776,5872,-4590,11921,-14964,11057","-4472,-4694,5855,-8497,-3306,-4855,-3781,1086,3542,2825",1.2816104693727424,2.3763639421198683,2.048171937110209,5.70614634860282,13,233675.0,전기·가스,0.83,2.590465222730557,1.7609839702760266,76,False
006040,동원산업,2026-06-10,515.0,-198.0,317.0,2143.0,0.2998082249882845,0.5,2353.0,-1293.0,1619.0,524.0,3.0,2.0,"-591,-70,-476,122,594,24,-758,-293,2131,515","-135,-155,441,-418,-88,160,1657,-92,-1003,-198",1.4788492421986383,1.689663442211714,1.7748237599299024,4.943336444340255,14,14302.0,금융,-0.46,2.2462668543176223,1.7133456680498662,47,False
023590,다우기술,2026-06-10,8.0,-6.0,2.0,-1891.0,0.5881326352114797,0.4,-1289.0,-411.0,-2638.0,747.0,2.0,2.0,"170,-272,-534,1320,455,-593,-756,-1483,186,8","-524,66,-267,-1785,-219,677,481,-277,-128,-6",0.49920300209817275,2.132569430253501,2.187733479789944,4.819505912141618,15,16038.0,IT 서비스,-0.67,2.190391508567254,1.6850550807677451,49,False
052690,한전기술,2026-06-10,1699.0,-1477.0,222.0,4232.0,-0.43995907564707215,0.9,6971.0,-4453.0,9760.0,-5528.0,5.0,1.0,"591,6153,5947,4188,6093,1607,1182,4357,915,1699","-2092,-5949,-3739,-3958,-5645,-415,-660,-3861,885,-1477",0.965477254178356,2.1002560003140283,1.985668618073531,5.051401872565915,16,45367.0,일반서비스,-1.33,2.2950286019945563,1.6593754089293622,68,False
014820,동원시스템즈,2026-06-10,270.0,-42.0,228.0,-347.0,0.3085764809034983,0.4,54.0,-88.0,-145.0,-202.0,1.0,1.0,"-169,5,44,84,41,-160,-39,-158,-58,270","-488,-135,-40,-48,-68,-63,-51,-155,109,-42",1.4034817373898847,1.4200492675837963,2.593354719487058,5.416885724460739,17,5842.0,화학,3.71,2.4599437988221164,1.6359910947567453,104,False
073240,금호타이어,2026-06-10,-525.0,164.0,-361.0,-2032.0,0.7216763248075502,0.3,-1503.0,359.0,-2473.0,441.0,1.0,3.0,"823,206,-396,606,-20,-529,-441,-997,19,-525","-1269,-283,-187,-141,734,430,-348,-239,434,164",-0.32690815636961673,1.4498021889518162,1.0394060985313036,2.1623001311135033,18,13171.0,화학,-1.5,0.9913956784705328,1.6352456658558263,-38,False
161000,애경케미칼,2026-06-10,225.0,18.0,243.0,2246.0,-0.2012801781284086,0.8,1171.0,-23.0,2207.0,39.0,5.0,4.0,"142,621,-66,926,980,485,551,537,409,225","-259,-77,-51,23,20,16,46,-45,4,18",0.7127725911223063,-0.4460680051946863,2.2017186011034675,2.4684231870310875,19,4948.0,화학,-0.97,1.1295258414267624,1.6287689751704573,-33,False
