ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
AMD,453890113536,106.25574,7.202846,0.07082,0.341,2.171,6.359
AOS,8963952640,16.836365,4.8333454,0.29197,0.0,0.191,10.974
A,34469666816,26.902868,4.9873137,0.19945998,0.07,-0.036,51.39
AES,10318146560,11.045802,2.5363717,0.01954,0.047,-0.317,259.393
ABT,168225079296,27.117647,3.225065,,0.078,-0.197,26.787
MMM,81401487360,25.758333,17.429796,0.75501,0.02,-0.199,276.638
ACN,121640747008,16.200819,3.8936603,0.24763,0.083,0.04,25.469
ABBV,368574726144,87.55462,-112.63784,62.25,0.1,,
AFL,60021522432,16.767202,2.0142467,0.13118,-0.099,-0.229,42.682
ADBE,99646849024,14.2453375,8.680753,0.58774,0.12,0.111,58.34
APD,64973246464,,4.2159324,-0.01667,0.058,0.097,101.991
ABNB,84861206528,35.12407,10.392805,0.30233,0.12,-0.237,27.698
ARE,8427597312,,0.5360864,-0.05856,-0.052,,66.615
ALB,23312132096,,3.1895676,-0.04656,0.159,,33.954
ALGN,13612295168,33.64071,3.3499007,0.103870004,0.053,0.356,2.826
LNT,18810275840,23.194267,2.5534675,0.11299,0.09,-0.058,168.08
AKAM,14117217280,31.234528,2.7879052,0.091730006,0.074,-0.374,114.024
GOOGL,4133303091200,31.637035,9.946147,0.35705003,0.18,0.311,16.133
ALLE,12432517120,19.371813,6.007576,0.36084,0.093,0.033,104.0
ALL,56101269504,5.677962,1.9644659,0.39518002,0.051,1.032,25.091
GOOG,4105721872384,31.338873,9.879777,0.35705003,0.18,0.311,16.133
AEE,31181584384,21.06729,2.3246844,0.11337,-0.088,0.195,147.125
AMCR,19378196480,31.533833,1.665343,0.07734,0.681,-0.321,138.731
AMZN,2694585253888,34.945606,6.541012,0.22286,0.136,0.05,43.435
MO,107285700608,15.575243,-30.673996,,-0.005,-0.629,
AEP,72652693504,20.06907,2.321655,0.12486,0.132,-0.126,154.237
AXP,227743006720,21.552307,6.7974834,0.33992,0.106,0.166,190.921
AIG,42216513536,14.489872,1.0292906,0.07399,-0.072,-0.056,24.408
AMT,85047246848,33.77037,23.28099,0.2628,0.075,-0.332,434.211
AWK,25700814848,23.130053,2.3703265,0.10496,0.058,0.0,146.987
AMP,42383585280,12.5778885,6.357391,0.60508,0.086,-0.011,57.597
APH,185717784576,45.227547,13.814357,0.36851,0.491,0.576,118.935
AMGN,191530729472,24.933332,22.110895,1.0610299,0.086,1.121,640.275
AME,54118993920,36.915623,5.091152,0.14594,0.134,0.036,24.194
ADI,181343436800,68.031136,5.367232,0.07862,0.304,1.167,25.753
AON,71315521536,19.49471,7.610266,0.4694,0.037,1.383,168.318
APA,12630531072,8.957394,2.0704439,0.2532,-0.28,-0.182,68.685
AAPL,3971820552192,34.249683,45.053352,1.5202099,0.157,0.183,102.63
AMAT,315015495680,40.670082,14.50539,0.38863,-0.021,0.752,33.108
APO,72332263424,22.454054,3.2882137,0.14698,0.877,-0.573,99.468
